#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
1,01-10-2016,Veracruz de Ignacio de la Llave,Medellín De Bravo,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
2,01-10-2016,Ciudad de México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
3,01-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
4,01-10-2016,Veracruz de Ignacio de la Llave,Xalapa,"GRUPO II. Equipo ferroviario, infraestructura y operación",Inundación
5,02-10-2016,San Luis Potosí,Charcas,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
6,02-10-2016,Tamaulipas,Ciudad Madero,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
7,02-10-2016,Michoacán de Ocampo,Morelia,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
8,03-10-2016,Tabasco,Huimanguillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
9,03-10-2016,Ciudad de México,Azcapotzalco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
10,03-10-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
11,03-10-2016,Guanajuato,Irapuato,"Grupo III. Muerte, lesión y otros",Persona Arrollada
12,03-10-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
13,03-10-2016,Chiapas,Palenque,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
14,04-10-2016,Veracruz de Ignacio de la Llave,Veracruz,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
15,04-10-2016,Puebla,Puebla,"Grupo III. Muerte, lesión y otros",Persona Arrollada
16,04-10-2016,Jalisco,Lagos De Moreno,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
17,04-10-2016,Veracruz de Ignacio de la Llave,Cosoleacaque ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
18,04-10-2016,Tamaulipas,Matamoros,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
19,04-10-2016,Michoacán de Ocampo,Pátzcuaro,Grupo I. Cruces a Nivel,Impacto a Tren
20,04-10-2016,Nuevo León,García,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
21,05-10-2016,Veracruz de Ignacio de la Llave,Tlalixcoyan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
22,05-10-2016,Tamaulipas,Ciudad Madero,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
23,05-10-2016,Chihuahua,Chihuahua,"Grupo III. Muerte, lesión y otros",Persona Arrollada
24,05-10-2016,Querétaro,Querétaro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
25,05-10-2016,Tamaulipas,Nuevo Laredo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
26,06-10-2016,Coahuila de Zaragoza,Viesca,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
27,06-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
28,06-10-2016,Coahuila de Zaragoza,Saltillo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
29,07-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
30,07-10-2016,Hidalgo,Emiliano Zapata,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
31,07-10-2016,Hidalgo,Tecozautla,"Grupo III. Muerte, lesión y otros",Accidente Personal Ferroviario
32,08-10-2016,Hidalgo,Huichapan,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
33,08-10-2016,Veracruz de Ignacio de la Llave,Las Vigas De Ramírez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
34,09-10-2016,Chihuahua,Bocoyna,"Grupo III. Muerte, lesión y otros",Persona Arrollada
35,09-10-2016,Nuevo León,Linares,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
36,09-10-2016,Guanajuato,San Miguel De Allende,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
37,09-10-2016,Michoacán de Ocampo,Salvador Escalante,"GRUPO II. Equipo ferroviario, infraestructura y operación",Objetos Sobre la Vía
38,10-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
39,10-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
40,10-10-2016,Guanajuato,Irapuato,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
41,10-10-2016,Coahuila de Zaragoza,San Pedro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
42,10-10-2016,Chiapas,La Libertad,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
43,10-10-2016,Tabasco,Tenosique,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
44,10-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
45,11-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
46,11-10-2016,Coahuila de Zaragoza,San Pedro,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
47,11-10-2016,Nuevo León,Monterrey,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
48,11-10-2016,Michoacán de Ocampo,Múgica,"Grupo III. Muerte, lesión y otros",Persona Arrollada
49,12-10-2016,Chiapas,Juárez,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
50,12-10-2016,México,Tlalnepantla De Baz,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
51,12-10-2016,Nuevo León,Lampazos De Naranjo,"GRUPO II. Equipo ferroviario, infraestructura y operación",Incendio
52,12-10-2016,San Luis Potosí,Vanegas,"GRUPO II. Equipo ferroviario, infraestructura y operación",Rozamiento
53,13-10-2016,Yucatán,Mérida,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
54,13-10-2016,Chiapas,Tapachula,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
55,13-10-2016,Chiapas,Palenque,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
